Gene,Sample_1,Sample_2
A1CF,317.722091092,293.341077233
A2M,151.4555084963,530.8308537681
A4GALT,73.5127242659,92.7179872741
A4GNT,288.295490233,259.639815987
AAAS,108.8647971364,106.8343779714
AACS,416.182811823,416.379943056
AADAC,41.104199057,35.57505177
AAGAB,157.7216165572,167.1217438927
AAK1,147.6484956899,148.677480999
AAMP,788.908435428,783.90461212
AANAT,12.8582056156,11.6481881388
AARS,2041.927177417,2287.097824721
AARSD1,200.3469984718,220.525717484
AASDHPPT,821.505729745,850.524451604
AASS,12.6386538075,13.8243424005
AATF,643.7927509384,876.86893104
AATK,174.384624838,206.9496181132
ABAT,158.0548767446,193.1048599836
ABCA1,331.3180444901,401.016374173
ABCA12,53.208389616,54.6296496977
ABCA2,188.277137605,154.524325595
ABCA3,63.4300333255,54.7252796699
ABCA4,32.6703844212,36.9756158539
ABCA5,265.8035883232,299.402120056
ABCA6,102.2541836341,120.8579046605
ABCA7,382.004146454,382.184289992
ABCA8,42.2839918198,37.1839361169
ABCB1,376.451092693,313.7808149601
ABCB11,30.8303896378,32.8521439206
ABCB4,107.0303332157,121.84465052
ABCB6,240.697910562,287.97752682
ABCB7,369.0545624837,456.8212436387
ABCB8,19.7542850175,23.7715899384
ABCB9,106.4050510461,151.2457612882
ABCC1,799.95183112,835.984617037
ABCC10,721.031407052,697.420550688
ABCC2,43.0939976333,58.824452263
ABCC3,55.6213170822,110.6300189432
ABCC4,204.9970060625,322.1232960988
ABCC5,621.114213262,541.480903763
ABCC6,12.8209188027,14.1421950984
ABCC8,13.7881793381,14.6580985825
ABCC9,96.267092425,85.7899397912
ABCD1,707.367424252,683.079619386
ABCD2,110.4355746321,88.0911140643
ABCD3,455.683600906,512.54730475
ABCD4,232.03922954,239.393449707
ABCE1,752.237599532,762.025153057
ABCF1,1683.91856028,1650.10564571
ABCF2,241.690685921,236.8866209846
ABCF3,511.347889476,498.3405248
ABCG1,233.9631381969,225.5918852597
ABCG2,350.6534195061,NA
ABCG4,338.318462485,316.393985908
ABCG5,18.4496888823,21.1461887658
ABHD10,1055.95217921,1071.446844351
ABHD11,520.491199034,557.941203907
ABHD14A,756.835984132,748.733707816
ABHD2,352.1499410266,421.413715398
ABHD3,767.298653465,638.903720162
ABHD4,913.838083594,914.794898731
ABHD5,223.449744717,256.69690018
ABHD6,115.5984545075,134.8517825092
ABHD8,31.9092606208,43.655378979
ABI1,1716.014571654,1554.987528944
ABI2,669.06828457,599.596680639
ABL1,691.778701213,679.169341795
ABL2,290.99841117,272.616117006
ABLIM1,1722.007963892,1647.3417790044
ABLIM3,25.8046192924,25.1945655123
ABO,15.4906719362,16.2080299384
ABP1,115.3830953503,120.2693555796
ABR,423.440051719,485.048270259
ABT1,480.729985942,528.416437012
