Gene,Sample_1,Sample_2
ENSG00000000003,105.4836554041,100.9514778362
ENSG00000000005,17.5989495589,16.5991392609
ENSG00000000419,2266.543936272,2323.986014977
ENSG00000000457,378.444278835,383.978895071
ENSG00000000460,109.9647545263,113.3222319072
ENSG00000000938,1145.3743352185,1421.6505927809
ENSG00000000971,54.5272586376,55.2227136248
ENSG00000001084,575.69679744,595.953655762
ENSG00000001167,264.513146651,263.399697359
ENSG00000001461,136.0973072334,186.8501423174
ENSG00000001497,316.4888258102,343.3249554654
ENSG00000001561,276.1138722014,258.548341948
ENSG00000001617,55.1105793295,55.9590752005
ENSG00000001626,18.2104203867,22.5875943841
ENSG00000001630,172.8616276996,243.745776986
ENSG00000001631,293.069676674,306.275362501
ENSG00000002016,23.0100879002,28.6406472699
ENSG00000002330,150.049493498,175.471125158
ENSG00000002549,1034.043633498,1524.592625668
ENSG00000002587,41.3054687164,50.5200921236
ENSG00000002745,107.4810310494,80.1050738856
ENSG00000002746,317.4424338197,268.9397162334
ENSG00000002822,531.846844785,564.5100756567
ENSG00000002834,2748.94328785,2831.07383113
ENSG00000002919,911.107442782,855.51715494
ENSG00000002933,412.2672326874,828.4111341912
ENSG00000003056,1113.546169383,1357.647625104
ENSG00000003137,39.1141759244,38.2839365755
ENSG00000003147,286.207493358,183.577990678
ENSG00000003249,73.3441558866,77.4895414179
ENSG00000003400,328.9770327421,333.0278585286
ENSG00000003402,1403.190822629,1568.4388661
ENSG00000003436,54.089352109,52.0341136805
ENSG00000003756,1964.323599023,2000.615446592
ENSG00000003989,46.565037753,49.3228117304
ENSG00000004059,922.618421241,841.749419198
ENSG00000004139,180.0353063007,175.5582086594
ENSG00000004142,814.955946796,801.402459055
ENSG00000004399,265.2376575849,358.6055497336
ENSG00000004455,682.92752918,641.288478165
ENSG00000004468,2058.7711640328,3070.425498303
ENSG00000004478,396.554874566,428.277846498
ENSG00000004487,496.1667678078,549.712574079
ENSG00000004534,1133.073968922,1159.672884508
ENSG00000004700,627.163288714,542.832064923
ENSG00000004776,340.3189562149,329.418076243
ENSG00000004777,85.0623719916,97.4293796254
ENSG00000004779,2812.46282732,2947.6851122
ENSG00000004799,89.3236122149,95.8572254349
ENSG00000004838,33.4677257917,41.2467906657
ENSG00000004864,144.0389033916,150.8763803708
ENSG00000004866,226.98143103500001,268.111197837
ENSG00000004897,455.425919857,470.672098606
ENSG00000004948,57.7501248681,60.680541227
ENSG00000004961,386.241914831,415.627880285
ENSG00000004975,302.56153001,317.662528687
ENSG00000005001,205.696089691,228.018540779
ENSG00000005007,379.148295387,442.192877999
ENSG00000005020,469.648951199,459.092257249
ENSG00000005022,8733.62563171,8221.65317277
ENSG00000005073,26.4972348318,27.6855689736
ENSG00000005075,152.3267498501,235.3631932962
ENSG00000005102,86.4633579852,72.6656278901
ENSG00000005108,125.8150090384,112.6396819711
ENSG00000005156,178.9545731365,171.4634041449
ENSG00000005175,426.562376262,432.432160509
ENSG00000005187,89.1630865702,100.8060561964
ENSG00000005194,380.5210511891,362.2997485323
ENSG00000005206,317.3814893171,267.832179351
ENSG00000005243,284.6579075845,213.3389643961
ENSG00000005249,96.4539176577,217.7816716217
ENSG00000005302,577.603163336,571.597084999
ENSG00000005339,519.351718633,516.378635214
ENSG00000005381,83.6277046482,151.0712562091
ENSG00000005421,202.3615922055,181.130587373
ENSG00000005469,347.461547394,394.323765063
ENSG00000005471,107.0303332157,121.84465052
ENSG00000005700,428.605330564,456.745118215
ENSG00000005801,341.479712007,364.636783107
ENSG00000005810,3098.5582032,2838.199111776
ENSG00000005844,1534.723410488,1613.355348373
ENSG00000005882,294.857614259,291.061420597
ENSG00000005884,120.6534388986,129.4254016462
ENSG00000005889,165.0313116418,162.0882143388
ENSG00000005893,521.742572941,763.002697166
ENSG00000005961,29.3842092123,34.6357774341
ENSG00000005981,85.1960790305,85.7246104996
ENSG00000006007,590.033620672,624.853912962
ENSG00000006015,544.645346519,561.931583981
ENSG00000006016,8.2758814542,10.498385172
ENSG00000006025,37.343790515,33.9400711099
ENSG00000006047,128.8197433108,129.6021919623
ENSG00000006062,476.330991661,445.233514045
ENSG00000006071,13.7881793381,14.6580985825
ENSG00000006116,25.4409993573,30.8773151675
ENSG00000006118,35.9621774925,46.4414186096
ENSG00000006125,886.729974533,842.141272853
ENSG00000006128,72.3388027475,58.9050323286
ENSG00000006194,832.221291313,766.305620196
ENSG00000006210,113.5199639237,114.63502622
ENSG00000006282,466.147550405,479.493112328
ENSG00000006283,25.6435354474,27.2043873592
ENSG00000006327,111.2590425487,127.9393209973
ENSG00000006377,38.9800634682,40.5154060259
ENSG00000006432,340.405700656,302.969352595
ENSG00000006451,430.8212159062,517.100198268
ENSG00000006468,216.2654892866,197.560648623
ENSG00000006530,537.719660689,530.016340881
ENSG00000006534,139.6938994122,181.8901226583
ENSG00000006555,16.6878471489,19.3692957025
ENSG00000006576,554.339971651,507.14636192
ENSG00000006607,212.2017798901,210.4013119045
ENSG00000006611,163.4622387424,143.7815845261
ENSG00000006625,1266.364288896,1273.407410001
ENSG00000006634,838.478806096,835.067861977
ENSG00000006638,235.397145934,226.337219441
ENSG00000006652,511.581732544,664.779317549
ENSG00000006659,413.385646984,378.968324105
ENSG00000006695,1145.541110238,1029.95125155
ENSG00000006704,387.117132268,377.098362232
ENSG00000006712,322.962524099,355.828606649
ENSG00000006715,315.102918939,334.641847403
ENSG00000006740,16.7861390381,19.2138539728
ENSG00000006744,324.9932937038,348.6748474095
ENSG00000006747,257.4971519201,216.3959668692
ENSG00000006756,21.6482650574,27.8274083261
ENSG00000006757,72.4061996409,78.449967141
ENSG00000006788,80.6419843139,78.7617864958
ENSG00000006831,1014.41936652,1133.906346585
ENSG00000006837,189.0538171723,195.1908645983
ENSG00000007038,167.2063333465,189.7776734286
ENSG00000007047,263.602487787,296.862233442
ENSG00000007062,83.155948381300007,78.2829001108
ENSG00000007129,214.0952598936,222.9633418878
ENSG00000007168,677.435763007,666.34926312
ENSG00000007171,158.32025947,154.876379924
ENSG00000007174,78.4564163555,82.4428641077
ENSG00000007202,627.466128125,689.401885241
ENSG00000007216,34.4730941983,39.7182760424
ENSG00000007237,195.2233643133,276.4277056621
ENSG00000007255,805.526756805,750.85800579
ENSG00000007264,299.7812763882,291.0434263386
ENSG00000007306,73.7558075114,72.2116737435
ENSG00000007312,2109.2389912657,1554.580130891
ENSG00000007314,24.3810357111,25.0414412676
ENSG00000007341,104.6047376693,110.5365102449
ENSG00000007350,109.1790595866,170.2224470452
ENSG00000007372,24.3056201516,23.0630840865
ENSG00000007384,71.3410897546,69.1462882731
ENSG00000007392,312.550023174,363.722307047
ENSG00000007402,213.4908069223,205.6956836315
ENSG00000007516,109.0587143645,71.6574150825
ENSG00000007541,137.6574219344,137.8252377914
ENSG00000007866,61.0485166077,80.6859112022
ENSG00000007908,42.1734816926,42.4765317822
ENSG00000007923,612.006420423,542.681772269
ENSG00000007933,43.7812857682,38.788935826
ENSG00000007944,1410.6905589817,1013.0468768591
ENSG00000007952,35.4947920912,38.8356019582
ENSG00000007968,51.6903290257,50.3559818104
ENSG00000008018,3958.25301475,4103.37868354
ENSG00000008056,68.5698121106,84.435563411
ENSG00000008083,1039.75685006,1123.306547683
ENSG00000008086,15.1201993041,17.4084749652
ENSG00000008118,108.6693848853,120.2318877137
ENSG00000008130,358.184090458,442.234878451
ENSG00000008196,25.5624561524,26.372619763
ENSG00000008226,32.2985572706,32.6683417726
ENSG00000008256,12.0420540357,13.556067361
ENSG00000008277,26.503354254,25.9386909064
ENSG00000008282,2512.059381949,1830.155528062
ENSG00000008283,516.575226988,480.444023945
ENSG00000008294,443.010137806,475.037697147
ENSG00000008300,114.0919252959,106.9846441291
ENSG00000008311,12.6386538075,13.8243424005
ENSG00000008323,153.2580242355,158.2302092008
ENSG00000008324,1518.443260806,1404.428471784
ENSG00000008405,377.6693206444,390.991222886
ENSG00000008438,18.8676786378,41.4875633857
ENSG00000008441,29.1147550105,28.9730744143
ENSG00000008513,280.9148840893,326.9707108689
ENSG00000008516,194.346621488,279.871245693
ENSG00000008517,1867.1731219911,2149.316642802
ENSG00000008710,134.1558178608,136.3915523007
ENSG00000008735,68.4044220755,81.104465112
ENSG00000008838,522.514487947,505.443333279
ENSG00000008853,44.7925986444,48.6500746914
ENSG00000008952,2864.58595884,3022.82555031
ENSG00000008988,14762.97700209,13300.51128232
ENSG00000009307,3169.08013651,2951.94759448
ENSG00000009335,733.832193202,628.913680387
ENSG00000009413,647.423508496,568.888646156
ENSG00000009709,80.6895228521,91.7001513655
ENSG00000009724,181.2514926049,179.3360502282
ENSG00000009780,100.5695492591,94.7700381509
ENSG00000009790,1860.8815939571,1613.290947278
ENSG00000009830,139.5160357862,145.916698052
ENSG00000009950,92.6156568354,88.8624438709
ENSG00000009954,317.9611566,373.74371362
ENSG00000010017,832.444508509,847.917378825
ENSG00000010030,277.270029783,325.902033885
ENSG00000010165,338.982074373,370.187174718
ENSG00000010219,204.1033931739,210.4240359559
ENSG00000010244,4520.76835156,4056.30809911
ENSG00000010256,923.8223503384,1195.2142364344
ENSG00000010278,356.080164962,830.7728223853
ENSG00000010292,366.068154339,367.063029169
ENSG00000010295,890.739549503,933.726965134
ENSG00000010310,13.6214445583,15.891417505
ENSG00000010318,237.028321029,219.578059335
ENSG00000010319,201.2914348694,192.9923468132
ENSG00000010322,2251.804011984,2140.002026434
ENSG00000010327,370.7072489911,521.7956903293
ENSG00000010361,318.111056944,349.294096226
ENSG00000010379,349.0881207228,355.6233107046
ENSG00000010404,577.844749487,616.096356792
ENSG00000010438,34.6456885346,55.3307709346
ENSG00000010539,269.770474611,298.761945186
ENSG00000010610,1307.604964519,1513.3157368398
ENSG00000010626,47.4007143963,41.8372893564
ENSG00000010671,1001.4228077265,1027.1255774558
ENSG00000010704,239.398498771,227.689128032
ENSG00000010803,629.818231046,582.680000017
ENSG00000010810,3266.862715198,3075.79862925
ENSG00000010818,472.147802895,423.770709211
ENSG00000010932,64.8852953667,56.8913175512
ENSG00000011009,76.0953998226,76.2963886155
ENSG00000011021,215.1061108402,210.54208383
