Gene,Sample_1,Sample_2,Sample_3
A1CF,217.29984394,324.780988219,249.629991679
A2M,837.1582820868,692.7267212697,2510.6753784012
A4GALT,64.7259526687,71.6024857641,81.6793891073
A4GNT,158.096971036,282.407327493,197.121171032
AAAS,103.5054007621,50.6512120344,65.3096786825
AACS,422.92198513,384.271866969,361.218142062
AADAC,31.5239017515,54.715728732,45.1289891585
AAGAB,248.6216484921,144.6804640035,207.9310534919
AAK1,144.7104697033,136.05728771,128.1414624923
AAMP,663.195001426,660.359028835,570.334289204
AANAT,14.3020157926,13.306616531,13.6552720304
AARS,1761.015446687,1933.436641677,1515.816624956
AARSD1,205.962339167,173.0789538272,180.947050763
AASDHPPT,827.977947986,809.090660142,727.23706226
AASS,10.4701889945,12.6119320189,12.1592514995
AATF,1113.280979554,625.2873105851,986.816008791
AATK,320.1326460027,550.0583007121,706.957427323
ABAT,239.7509624893,265.2639162909,341.1028041447
ABCA1,431.9663354381,1260.6228269326,1681.486471764
ABCA12,40.3164360361,44.5870668601,33.3499005656
ABCA2,220.714735064,161.22858178,180.4149995
ABCA3,65.9426986749,62.7695700867,53.7151795115
ABCA4,36.5638343646,33.7551259102,37.9228448844
ABCA5,265.9987099032,305.466431112,343.9307274254
ABCA6,85.3742026045,133.6158265287,155.3884699741
ABCA7,315.174333792,443.070754656,427.662816384
ABCA8,23.7840046991,36.4228878116,18.1741083321
ABCB1,495.2552522309,260.1871057296,199.5612202804
ABCB11,23.6289034856,30.0646551018,26.9344732162
ABCB4,14.5487343231,107.5482898231,34.5537129713
ABCB6,186.2891450155,193.06160995,174.2022371625
ABCB7,486.3522934343,236.3407600409,390.836260125
ABCB8,21.5103161388,12.7373818257,24.363119447
ABCB9,33.9752822757,78.6278954215,38.8801501192
ABCC1,757.85621873,998.877219499,1086.48302092
ABCC10,634.314740935,666.874853956,604.871131685
ABCC2,33.8078370162,38.0998412436,40.1445928184
ABCC3,249.2331457096,98.911707321,444.5659032756
ABCC4,319.2426468532,550.8691209665,636.6356384597
ABCC5,601.793911479,758.190213727,881.54711733
ABCC6,13.7940182439,12.6334786787,13.3714354038
ABCC8,15.6863656902,15.9512150256,16.635537928
ABCC9,58.9286714438,96.0815563068,69.7263279628
ABCD1,521.252431776,737.374662458,631.500681356
ABCD2,55.840991493,89.0659205964,53.6533352279
ABCD3,744.016086775,371.127254796,481.046682633
ABCD4,218.161234377,213.133269842,202.315384585
ABCE1,744.693070432,568.267523193,554.364247119
ABCF1,1731.65736072,1551.356224965,1539.36666059
