Gene,Sample_1,Sample_2,Sample_3
ENSG00000000003,72.1949043471,161.009175775,121.9471245977
ENSG00000000005,17.147256015,15.8235360876,15.6068882487
ENSG00000000419,2058.302735521,2191.93515353,1965.314375389
ENSG00000000457,329.390284251,335.849473362,311.355152729
ENSG00000000460,104.8756951951,76.0524458062,74.8327845181
ENSG00000000938,2782.0999591637,2179.470625567,2814.168671564
ENSG00000000971,85.1455866155,61.5281494756,133.8678219628
ENSG00000001084,801.382734534,638.683020743,916.033719689
ENSG00000001167,231.021902392,275.91277342,254.75238343
ENSG00000001461,98.7186607568,65.4284372522,58.677223731
ENSG00000001497,337.6323629466,225.8910188825,227.3955341802
ENSG00000001561,468.8643922464,223.1158843015,265.6226502078
ENSG00000001617,51.4361773359,57.9221372906,64.2654763503
ENSG00000001626,14.1439796936,16.8959756187,15.1080855269
ENSG00000001630,218.14897093,221.6476681909,258.400098388
ENSG00000001631,341.628078669,196.4840914045,203.475116239
ENSG00000002016,32.63008251,25.9014835601,34.980444636
ENSG00000002330,185.6717206806,109.6201419717,143.4823945834
ENSG00000002549,1841.539886095,1072.391090724,2217.621232001
ENSG00000002587,49.3265818098,87.8648422357,120.639348504
ENSG00000002745,79.6259283492,88.5764639422,60.31985492
ENSG00000002746,138.5992380853,330.2181398559,184.644581688
ENSG00000002822,463.888804986,240.1383330276,300.2770149791
ENSG00000002834,4586.54977078,2425.80585455,3490.88275627
ENSG00000002919,922.175316103,1226.492009128,1433.348407383
ENSG00000002933,1439.5381445087,565.1345010997,2610.3228048773
ENSG00000003056,2151.191755024,973.98616002000006,2040.115116451
ENSG00000003137,19.3883465771,39.4047464825,26.260411107
ENSG00000003147,277.633047005,195.710937484,225.25823731
ENSG00000003249,40.3151002163,82.4643222052,52.7479098922
ENSG00000003400,220.6318747663,302.206491378,207.4049109341
ENSG00000003402,1850.83337947,1938.604445714,2524.337970527
ENSG00000003436,54.1917456582,76.5232261705,82.1156369973
ENSG00000003756,1646.368501681,2187.264307522,1914.372854095
ENSG00000003989,34.4862909775,45.690596364,34.0384833683
ENSG00000004059,859.344979573,1038.064427736,1007.247420547
ENSG00000004139,164.6604622683,151.3360759278,138.1522996365
ENSG00000004142,658.16402794,742.021543004,657.21677391
ENSG00000004399,847.9371343733,218.2066468294,945.586502691
ENSG00000004455,633.68143985,653.136725904,614.767538995
ENSG00000004468,1370.6983092076,1494.295121567,1692.0336656702
ENSG00000004478,428.152744364,264.1556881371,284.803552352
ENSG00000004487,498.19682964,342.6696750244,351.750255925
ENSG00000004534,816.062139516,881.85835132,624.893084773
ENSG00000004700,624.785786658,452.363883978,398.538058926
ENSG00000004776,198.8833370847,370.9360036729,262.7571450279
ENSG00000004777,95.9310154501,77.92796831,100.7376391332
ENSG00000004779,3179.05627874,2120.979620555,2139.87696323
ENSG00000004799,96.3344839558,121.5934809714,141.7992467945
ENSG00000004838,29.1411116372,38.6080273051,39.4656203838
ENSG00000004864,175.1015444631,220.5683685674,267.7247568513
ENSG00000004866,240.372980268,256.190756146,287.066739748
ENSG00000004897,395.967522481,414.674605669,389.748974631
ENSG00000004948,39.6573254662,57.7046012139,46.0147367096
ENSG00000004961,487.829073379,451.102789024,546.595801534
ENSG00000004975,264.131595064,239.115954427,236.660158665
ENSG00000005001,181.881272587,237.792052454,232.114214571
ENSG00000005007,452.788064928,458.734485522,522.821298722
ENSG00000005020,535.640972465,910.980002629,1005.555750424
ENSG00000005022,8281.98444038,6852.64112893,6202.4985765
ENSG00000005073,22.3894818943,35.6237536554,33.8423907676
ENSG00000005075,165.8330354311,151.8084001538,208.2893631947
ENSG00000005102,66.0787966241,52.6414298386,47.6551415374
ENSG00000005108,67.0759045669,113.8611757322,64.1094679209
ENSG00000005156,207.9329059723,167.9091003253,170.7110765926
ENSG00000005175,395.389050413,398.197422051,440.32075497
ENSG00000005187,73.1602560401,124.1879817276,121.4832287474
ENSG00000005194,442.4249591387,328.3010696026,368.737121221
ENSG00000005206,148.7893979877,281.4461828526,148.0641913327
ENSG00000005243,270.7072535797,361.9580253668,311.5760916254
ENSG00000005249,329.1260959467,119.8225956928,522.0856232977
ENSG00000005302,452.582089828,549.723052403,486.694335675
ENSG00000005339,472.989193837,632.299911481,610.115800033
ENSG00000005381,198.7944598784,533.7057149228,465.7857841638
ENSG00000005421,125.7300173718,193.2238398317,132.7529237931
ENSG00000005469,426.157961904,581.455711802,534.69354107
ENSG00000005471,14.5487343231,107.5482898231,34.5537129713
ENSG00000005700,485.079671285,318.9150066242,370.327806375
ENSG00000005801,341.806959017,313.903601647,319.831792717
ENSG00000005810,1786.191737018,2172.266095841,996.239679468
ENSG00000005844,2942.830509764,761.429299574,1076.660324023
ENSG00000005882,238.187835474,250.336175117,215.854796291
ENSG00000005884,142.2945574727,105.3742465314,144.2522346018
ENSG00000005889,150.3552394614,179.325092952,161.5905212246
ENSG00000005893,876.017233461,1304.129859649,1998.433877228
ENSG00000005961,35.4259995941,70.1129776384,78.5565284209
ENSG00000005981,72.0405032249,83.867325438699993,69.5954778558
ENSG00000006007,678.040929389,563.391266539,802.982847596
ENSG00000006015,423.072808369,385.623339023,333.04716367
ENSG00000006016,9.6876011484,5.9913598658,7.9054626975
ENSG00000006025,37.6959808714,31.1239469865,28.9618495602
ENSG00000006047,88.1790933128,144.591215815,112.9452518545
ENSG00000006062,373.701750982,472.8542526,479.955233726
ENSG00000006071,15.6863656902,15.9512150256,16.635537928
ENSG00000006116,24.730803478,19.8222966345,19.1352803606
ENSG00000006118,80.3588858384,34.5609356323,96.5269813467
ENSG00000006125,838.028599037,706.412666667,541.857341204
ENSG00000006128,24.9229382231,75.1356427698,36.4281020743
ENSG00000006194,518.965882411,802.493055439,572.991337927
ENSG00000006210,87.3749282518,117.1964062704,100.5595336291
